kind	identity	url	note
introducing_commit	079afb081c4288e94d5e4223d3eb6306d853c68b	https://github.com/torvalds/linux/commit/079afb081c4288e94d5e4223d3eb6306d853c68b	io_uring/futex: mark wait requests as inflight
direct_parent	6a8118a77eec5fc4dfec69cc6bdc52229943f6ef	https://github.com/torvalds/linux/commit/6a8118a77eec5fc4dfec69cc6bdc52229943f6ef	exact direct parent
patch_thread	20250604165647.293646-3-axboe@kernel.dk	https://www.spinics.net/lists/io-uring/msg29895.html	original PATCH 2/2; intended reply target
performance_report	CANGjgdn=R_qyUdE=j9za+vkmqcxacbP-84OHXF4nZ4ho9qRyVg@mail.gmail.com	https://lore.kernel.org/io-uring/CANGjgdn=R_qyUdE=j9za+vkmqcxacbP-84OHXF4nZ4ho9qRyVg@mail.gmail.com/	report referenced by Jens in both candidate patches
patch_validation_reply	CANGjgdkhQZWntcnpa2zBshGn_E7yaKDnPcSbH-HBBfXGWAw1+g@mail.gmail.com	https://lore.kernel.org/io-uring/CANGjgdkhQZWntcnpa2zBshGn_E7yaKDnPcSbH-HBBfXGWAw1+g@mail.gmail.com/	Gmail SENT confirmed 2026-07-31; thread headers intact; upstream fix later carries the report attribution
upstream_fix	73e7019097473fc9f83a334ef2c6ab3343709fef	https://github.com/torvalds/linux/commit/73e7019097473fc9f83a334ef2c6ab3343709fef	io_uring/futex: don't mark futex wake requests as inflight; carries Reported-by
stable_queue_7_1	2026082416-chili-empower-39fb@gregkh	https://git.kernel.org/pub/scm/linux/kernel/git/stable/stable-queue.git/tree/queue-7.1/io_uring-futex-don-t-mark-futex-wake-requests-as-inflight.patch	selected 2026-08-24; queue status is not release status
stable_queue_6_18	2026082407-cruncher-carried-3088@gregkh	https://git.kernel.org/pub/scm/linux/kernel/git/stable/stable-queue.git/tree/queue-6.18/io_uring-futex-don-t-mark-futex-wake-requests-as-inflight.patch	selected 2026-08-24; queue status is not release status
stable_queue_7_2	2026082423-upstate-nature-93d0@gregkh	https://git.kernel.org/pub/scm/linux/kernel/git/stable/stable-queue.git/tree/queue-7.2/io_uring-futex-don-t-mark-futex-wake-requests-as-inflight.patch	selected 2026-08-24; queue status is not release status
correctness_report	38053.1749045482@localhost	https://lore.kernel.org/io-uring/38053.1749045482@localhost/	private-futex wait exit use-after-free report
correctness_discussion	use-after-free if killed while in IORING_OP_FUTEX_WAIT	https://www.spinics.net/lists/io-uring/msg29892.html	Jens explains the intended least-intrusive fix
patch_test_base	48a5a7ab8d6ab7090564339e039c421f315de912	https://github.com/torvalds/linux/commit/48a5a7ab8d6ab7090564339e039c421f315de912	frozen Linus master base for the two candidate-patch tests
linus_master	fc02acf6ac0ccde0c805c2daa9148683cdd01ba8	https://raw.githubusercontent.com/torvalds/linux/fc02acf6ac0ccde0c805c2daa9148683cdd01ba8/io_uring/futex.c	checked 2026-07-29; both tracking calls remain
io_uring_for_next	e5f87b066744	https://git.kernel.dk/cgit/linux/	refreshed 2026-07-29; source topology only
