key	value
upstream_commit	6456ccbd2ff72814b3c1b2e2a3a2145a2ced858d
upstream_direct_parent	50d56a1a366a3a5e7e41d9efff1a5e4ee7bf98a7
upstream_subject	apparmor: fix regression in fs based unix sockets when using old abi
changed_file_1	security/apparmor/af_unix.c
changed_file_2	security/apparmor/include/af_unix.h
synthetic_mainline_base	d2eedaa3909be9102d648a4a0a50ccf64f96c54f
synthetic_parent	0bfa1c2da7a88d4e5fcd65044a3076f8d672f3a4
synthetic_parent_apparmor_prefix_end	50d56a1a366a3a5e7e41d9efff1a5e4ee7bf98a7
synthetic_parent_tree	8977565ec649a762390ab0edffecd8462007336c
synthetic_child	30cb02a874b4c62191decf55c3971e45a5173d50
synthetic_child_parent	0bfa1c2da7a88d4e5fcd65044a3076f8d672f3a4
synthetic_child_tree	997b6447ed7f9f334f4c3ae8cca6722a5580140d
commit_distance	1
exact_source_delta_match	yes
child_tree_matches_prefix_through_upstream_commit	yes
